transaction_id,user_id,amount,transaction_date,payment_mode,refund_requested
100,93,29.34,2025-01-27,Gift Code,False
101,383,39.6,2025-01-11,PayPal,False
102,889,54.12,2024-12-16,PayPal,False
103,279,51.42,2024-09-13,Gift Code,False
104,727,59.46,2025-04-17,Gift Code,False
105,449,50.52,2025-07-15,Credit Card,False
106,761,48.03,2025-01-07,PayPal,False
107,982,68.57,2025-01-02,PayPal,False
108,583,46.6,2025-02-26,Credit Card,False
109,621,46.14,2024-11-13,Gift Code,True
110,288,50.49,2025-02-26,Gift Code,False
111,476,42.21,2025-07-22,Credit Card,False
112,882,52.56,2024-08-12,PayPal,False
113,672,42.75,2024-10-16,Gift Code,False
114,801,45.68,2025-04-08,Credit Card,False
115,171,42.54,2025-05-07,Credit Card,True
116,525,32.21,2024-08-31,Credit Card,False
117,372,25.83,2025-01-05,Gift Code,False
118,732,35.75,2024-10-08,Gift Code,False
119,393,61.4,2024-12-26,Credit Card,False
120,958,50.74,2025-01-22,Credit Card,False
121,185,45.19,2025-02-12,Gift Code,False
122,510,39.59,2024-08-19,Gift Code,False
123,432,62.6,2025-01-18,Gift Code,False
124,939,43.57,2024-11-23,Gift Code,True
125,835,41.54,2024-09-20,Gift Code,False
126,209,31.07,2024-11-02,Credit Card,False
127,994,27.68,2025-06-12,Gift Code,False
128,800,54.6,2025-04-01,Gift Code,False
129,329,66.85,2025-02-23,Credit Card,False
130,361,52.95,2024-08-19,Credit Card,False
131,444,52.82,2024-10-28,PayPal,False
132,897,67.95,2024-12-02,Gift Code,False
133,441,55.0,2024-10-26,PayPal,False
134,369,49.91,2025-01-29,PayPal,False
135,106,55.58,2024-12-20,Credit Card,False
136,724,59.02,2025-07-03,Credit Card,False
137,325,55.08,2024-11-04,PayPal,False
138,232,45.13,2024-09-22,PayPal,False
139,725,54.06,2025-03-17,PayPal,False
140,837,43.06,2025-06-11,PayPal,False
141,708,49.68,2025-06-30,Gift Code,False
142,249,53.96,2025-02-09,PayPal,False
143,317,68.38,2024-10-21,Credit Card,False
144,264,54.38,2025-05-13,PayPal,False
145,729,50.15,2025-03-19,PayPal,True
146,503,45.99,2024-10-17,Credit Card,False
147,263,44.15,2024-07-28,PayPal,False
148,933,46.12,2024-10-13,Credit Card,True
149,682,50.39,2025-03-23,Gift Code,False
150,416,59.15,2025-05-16,Gift Code,False
151,913,37.25,2024-12-09,Credit Card,False
152,668,57.65,2024-10-25,Gift Code,False
153,70,44.34,2025-03-13,Gift Code,False
154,234,42.98,2024-12-13,Gift Code,True
155,432,55.1,2024-09-14,Credit Card,False
156,54,46.24,2025-05-07,PayPal,False
157,170,54.75,2025-04-21,Gift Code,True
158,36,53.87,2025-07-01,PayPal,False
159,834,58.05,2025-06-18,PayPal,False
160,927,63.17,2024-12-25,Gift Code,False
161,961,32.79,2024-08-09,Gift Code,False
162,259,52.03,2025-02-11,PayPal,True
163,251,42.59,2025-04-03,Gift Code,False
164,13,54.17,2025-02-17,Credit Card,False
165,671,35.93,2024-12-05,Credit Card,False
166,541,50.5,2024-10-05,Gift Code,False
167,57,31.17,2024-10-02,PayPal,False
168,161,50.42,2025-03-14,Gift Code,True
169,437,50.05,2025-06-01,Credit Card,False
170,778,43.26,2025-02-26,PayPal,False
171,230,46.05,2025-06-13,Gift Code,False
172,831,46.29,2025-01-21,Credit Card,False
173,841,34.49,2025-06-30,PayPal,False
174,193,37.03,2024-10-23,Credit Card,False
175,620,51.87,2024-11-13,Gift Code,False
176,357,60.67,2025-04-23,Gift Code,False
177,352,57.86,2025-06-24,Credit Card,False
178,865,29.7,2024-08-04,Credit Card,False
179,258,62.39,2024-08-29,Credit Card,False
180,622,63.0,2024-08-25,Credit Card,False
181,642,42.52,2024-10-30,Credit Card,False
182,635,42.71,2025-03-21,PayPal,False
183,965,44.81,2025-06-03,Gift Code,False
184,970,53.31,2025-03-14,PayPal,False
185,628,46.96,2025-01-29,Credit Card,True
186,742,53.88,2025-06-13,PayPal,False
187,293,36.97,2025-04-29,Gift Code,False
188,386,39.27,2024-11-19,Credit Card,False
189,745,41.23,2025-01-16,Credit Card,False
190,829,41.82,2024-11-28,Gift Code,False
191,234,54.26,2024-11-06,PayPal,False
192,296,52.45,2025-05-02,Gift Code,False
193,703,56.57,2025-01-30,Gift Code,False
194,537,60.81,2024-10-10,PayPal,False
195,379,53.93,2025-04-10,PayPal,False
196,678,32.17,2025-06-26,Credit Card,False
197,805,45.81,2025-04-04,Credit Card,False
198,210,47.16,2025-01-14,Credit Card,False
199,539,52.57,2025-06-21,Gift Code,False
200,852,40.55,2025-01-19,PayPal,False
201,178,64.79,2024-08-07,PayPal,False
202,930,45.98,2024-11-07,Credit Card,False
203,556,46.68,2025-05-15,Gift Code,False
204,72,48.03,2025-03-09,Gift Code,False
205,900,44.84,2025-03-20,PayPal,False
206,508,32.64,2024-08-08,PayPal,False
207,222,62.4,2025-03-04,PayPal,False
208,948,43.64,2025-01-01,PayPal,False
209,823,56.29,2025-01-18,Gift Code,False
210,228,45.74,2025-02-16,Credit Card,False
211,841,43.7,2024-08-19,PayPal,False
212,233,37.54,2025-03-15,PayPal,False
213,268,32.18,2024-11-21,PayPal,False
214,910,45.54,2024-12-12,Gift Code,False
215,254,45.11,2025-06-08,Credit Card,False
216,675,64.35,2025-05-27,Gift Code,False
217,6,50.71,2024-12-22,Credit Card,False
218,47,61.41,2025-06-23,Gift Code,False
219,407,34.97,2024-12-01,PayPal,False
220,883,50.51,2025-03-04,PayPal,False
221,580,55.5,2025-01-26,Credit Card,False
222,254,51.11,2025-01-15,Gift Code,False
223,449,51.49,2024-10-22,Credit Card,False
224,59,47.5,2025-03-17,Gift Code,False
225,393,38.05,2024-12-20,PayPal,False
226,631,36.33,2024-08-29,Credit Card,False
227,698,57.06,2025-05-22,Credit Card,False
228,560,43.38,2025-07-19,PayPal,False
229,191,45.73,2024-08-05,PayPal,False
230,265,43.38,2025-04-07,PayPal,False
231,684,41.06,2024-10-09,PayPal,False
232,558,35.36,2025-05-20,PayPal,False
233,143,65.35,2025-04-16,PayPal,False
234,246,29.6,2024-10-29,Gift Code,False
235,216,56.87,2024-08-01,Gift Code,False
236,437,60.88,2024-12-04,Credit Card,True
237,688,51.4,2025-01-22,Gift Code,False
238,840,48.24,2024-10-11,Credit Card,False
239,476,52.32,2025-07-11,Gift Code,False
240,384,46.0,2025-07-07,Gift Code,False
241,938,59.82,2024-12-26,PayPal,True
242,878,61.19,2025-02-19,Gift Code,False
243,657,55.41,2025-07-10,Gift Code,False
244,547,33.48,2025-06-18,Gift Code,False
245,415,56.74,2025-05-03,PayPal,False
246,132,62.82,2025-03-06,PayPal,False
247,816,56.07,2024-08-30,Gift Code,False
248,398,59.84,2025-07-17,Credit Card,False
249,507,42.7,2024-08-12,Gift Code,False
250,153,45.25,2025-02-10,PayPal,False
251,814,63.09,2025-06-25,PayPal,True
252,560,56.65,2025-05-09,Credit Card,True
253,168,47.52,2024-07-31,PayPal,False
254,690,47.27,2024-11-14,PayPal,False
255,775,50.18,2025-06-03,Gift Code,False
256,607,47.01,2024-09-04,Credit Card,False
257,828,50.05,2025-04-24,PayPal,False
258,803,81.42,2025-04-11,PayPal,False
259,230,42.95,2025-02-01,Gift Code,False
260,703,32.05,2025-07-02,Gift Code,False
261,404,43.36,2024-11-22,Gift Code,False
262,144,55.53,2025-01-06,Gift Code,False
263,918,56.01,2025-03-23,Credit Card,False
264,676,39.23,2025-03-29,Gift Code,False
265,531,46.22,2024-11-08,Credit Card,False
266,898,58.65,2025-07-04,PayPal,True
267,68,48.92,2024-10-15,PayPal,False
268,98,39.75,2024-08-05,Gift Code,False
269,7,41.85,2025-01-24,Gift Code,False
270,815,64.07,2025-06-21,Gift Code,True
271,177,45.45,2025-04-27,PayPal,False
272,206,50.52,2025-07-13,PayPal,False
273,299,34.0,2024-09-24,PayPal,False
274,800,47.62,2025-06-01,Credit Card,False
275,913,78.23,2024-09-02,PayPal,False
276,229,67.88,2025-07-07,Gift Code,False
277,896,52.53,2025-04-15,Credit Card,False
278,631,66.14,2025-02-04,Credit Card,False
279,270,56.02,2025-04-06,Credit Card,False
280,81,73.25,2025-05-27,PayPal,False
281,672,56.66,2025-02-05,PayPal,False
282,188,63.39,2025-01-17,PayPal,False
283,700,28.86,2025-04-07,PayPal,False
284,820,53.85,2025-01-16,Gift Code,False
285,501,43.86,2025-05-31,Credit Card,False
286,706,55.6,2024-08-19,Credit Card,False
287,487,55.22,2025-04-13,Credit Card,True
288,772,63.83,2025-04-29,Credit Card,False
289,488,60.44,2025-01-04,Credit Card,False
290,990,35.9,2025-07-17,Gift Code,False
291,478,31.48,2025-03-04,Gift Code,False
292,703,47.94,2025-03-09,Credit Card,False
293,289,57.5,2024-09-01,Credit Card,False
294,106,56.33,2024-12-21,PayPal,False
295,641,50.66,2024-11-25,Credit Card,False
296,609,56.13,2025-02-05,Gift Code,False
297,996,58.21,2025-01-19,PayPal,False
298,576,50.67,2024-10-02,Gift Code,False
299,640,56.21,2024-10-21,PayPal,False
300,223,57.09,2024-12-30,PayPal,False
301,805,49.64,2024-10-28,Credit Card,False
302,974,64.78,2024-11-20,Gift Code,False
303,382,38.01,2025-05-16,Gift Code,False
304,838,66.49,2024-08-20,Credit Card,False
305,903,60.44,2024-09-08,PayPal,False
306,104,71.58,2024-08-05,PayPal,True
307,664,34.8,2024-11-03,Gift Code,False
308,114,46.48,2025-02-17,Credit Card,False
309,508,54.81,2025-06-22,Credit Card,False
310,964,52.57,2024-11-29,Gift Code,False
311,55,45.67,2025-01-10,PayPal,False
312,121,53.06,2025-02-24,PayPal,False
313,217,62.45,2025-07-15,Credit Card,False
314,635,51.4,2025-04-27,PayPal,False
315,3,36.34,2025-01-02,PayPal,False
316,92,70.54,2025-01-14,PayPal,False
317,407,40.4,2025-07-21,Gift Code,False
318,676,37.81,2025-07-13,Credit Card,True
319,441,42.74,2024-09-04,Gift Code,False
320,631,43.84,2025-07-24,Gift Code,False
321,432,52.75,2024-09-18,PayPal,True
322,909,76.09,2024-12-20,Credit Card,False
323,61,41.04,2024-11-28,PayPal,False
324,726,60.93,2025-06-03,Credit Card,False
325,473,69.5,2025-01-25,PayPal,False
326,247,45.75,2025-04-19,Credit Card,False
327,747,48.99,2024-09-24,Credit Card,False
328,920,53.04,2025-02-22,PayPal,False
329,939,45.43,2025-06-12,PayPal,False
330,869,31.83,2024-08-18,Gift Code,False
331,372,63.51,2025-02-23,Gift Code,False
332,289,51.57,2024-09-17,Credit Card,False
333,590,44.35,2025-06-15,PayPal,False
334,24,49.55,2025-05-19,PayPal,False
335,406,46.83,2025-03-08,Gift Code,False
336,308,55.91,2025-06-15,PayPal,False
337,613,41.0,2024-09-07,Credit Card,False
338,372,46.21,2024-09-26,Credit Card,True
339,763,51.43,2025-06-18,Credit Card,False
340,635,30.31,2025-01-30,Gift Code,True
341,215,47.53,2025-05-14,Credit Card,True
342,262,43.11,2025-02-27,Gift Code,False
343,915,56.07,2025-03-23,Gift Code,False
344,844,52.46,2025-03-30,Credit Card,False
345,346,62.67,2025-06-18,Gift Code,False
346,413,29.84,2025-02-16,Gift Code,False
347,123,43.82,2025-02-06,Credit Card,False
348,764,51.95,2024-12-13,Credit Card,False
349,320,62.91,2025-07-13,Gift Code,False
350,910,38.93,2025-04-01,Gift Code,True
351,337,41.95,2024-09-25,PayPal,False
352,158,63.14,2024-11-01,Credit Card,False
353,327,73.03,2025-03-05,PayPal,False
354,661,67.05,2025-04-11,Gift Code,False
355,65,67.15,2025-03-07,PayPal,False
356,369,54.3,2024-08-17,Gift Code,False
357,870,51.31,2025-03-23,PayPal,False
358,4,69.01,2025-06-30,Gift Code,False
359,686,46.73,2024-12-28,Gift Code,False
360,648,39.89,2024-08-03,Gift Code,False
361,914,52.82,2025-03-28,Credit Card,False
362,756,46.38,2025-02-14,Gift Code,True
363,60,42.31,2024-11-14,Credit Card,True
364,45,58.5,2024-08-31,Gift Code,False
365,584,47.49,2025-04-29,PayPal,False
366,607,51.84,2025-04-20,Gift Code,False
367,543,55.4,2024-12-06,Gift Code,False
368,156,32.34,2025-04-13,PayPal,False
369,888,62.38,2025-02-26,Gift Code,False
370,752,73.0,2025-05-22,Gift Code,False
371,64,62.8,2024-11-30,Gift Code,False
372,421,14.06,2025-06-29,PayPal,False
373,323,52.24,2024-12-13,Gift Code,False
374,109,31.41,2024-10-07,Credit Card,False
375,463,61.93,2025-01-20,Credit Card,False
376,580,61.96,2025-04-27,Credit Card,False
377,547,53.72,2024-10-20,Credit Card,False
378,251,23.56,2024-08-16,PayPal,False
379,866,50.09,2025-04-24,Gift Code,False
380,510,38.78,2025-05-28,Credit Card,False
381,548,51.38,2024-11-09,Gift Code,False
382,441,49.85,2024-10-15,Gift Code,False
383,454,60.42,2025-01-16,PayPal,False
384,644,48.41,2025-07-08,Gift Code,True
385,817,66.72,2025-01-01,Credit Card,False
386,734,53.97,2024-10-10,Credit Card,False
387,679,44.74,2024-09-10,PayPal,True
388,274,49.12,2025-02-14,Credit Card,True
389,60,62.87,2024-11-25,Credit Card,False
390,342,64.19,2024-12-14,PayPal,False
391,394,23.24,2025-02-28,PayPal,False
392,113,38.04,2024-12-27,Credit Card,False
393,221,43.72,2025-01-31,PayPal,False
394,791,64.05,2024-08-01,PayPal,False
395,68,62.57,2025-01-31,Credit Card,False
396,315,60.04,2025-06-08,Credit Card,False
397,467,61.34,2024-09-09,PayPal,False
398,858,67.12,2025-01-09,Gift Code,True
399,263,55.59,2025-05-11,Gift Code,False
400,781,60.88,2025-03-22,Credit Card,False
401,131,54.31,2025-06-13,Credit Card,False
402,424,60.55,2024-10-31,Gift Code,False
403,267,45.14,2024-10-31,PayPal,False
404,720,41.32,2025-02-21,Gift Code,False
405,212,43.4,2025-04-25,Gift Code,False
406,563,47.24,2025-07-17,Credit Card,True
407,983,58.15,2025-06-18,PayPal,False
408,919,66.48,2024-08-30,Gift Code,False
409,288,43.94,2024-11-06,PayPal,False
410,425,75.27,2025-05-11,Credit Card,False
411,554,47.76,2024-11-19,Gift Code,False
412,759,50.19,2024-07-24,Credit Card,False
413,934,52.86,2024-07-25,Gift Code,False
414,707,43.68,2024-08-15,PayPal,False
415,244,44.99,2025-05-09,Credit Card,False
416,712,46.95,2025-05-05,PayPal,False
417,870,38.24,2024-11-06,Gift Code,False
418,633,41.79,2024-08-07,Credit Card,False
419,1000,49.22,2025-05-24,PayPal,False
420,334,45.93,2025-01-12,PayPal,False
421,328,43.5,2024-12-14,Gift Code,False
422,715,60.24,2024-12-30,Credit Card,False
423,106,32.48,2024-08-10,PayPal,False
424,762,55.84,2024-09-19,Credit Card,False
425,887,51.5,2024-10-24,Credit Card,False
426,938,52.82,2025-05-20,Credit Card,False
427,939,37.71,2025-06-23,Credit Card,False
428,801,44.44,2024-09-09,Gift Code,False
429,79,53.91,2024-08-12,PayPal,False
430,165,44.58,2025-05-02,Credit Card,False
431,846,34.62,2025-01-04,PayPal,False
432,631,47.3,2024-11-22,PayPal,False
433,986,48.08,2025-05-21,PayPal,False
434,57,57.28,2024-08-08,Gift Code,False
435,960,61.35,2025-01-12,Credit Card,False
436,960,51.37,2025-05-18,Credit Card,False
437,188,54.36,2025-03-16,PayPal,False
438,52,60.55,2025-01-28,PayPal,False
439,72,48.11,2024-09-23,Gift Code,False
440,753,55.41,2025-03-07,Gift Code,False
441,324,35.79,2024-12-30,PayPal,True
442,612,44.36,2025-02-12,Credit Card,False
443,338,67.13,2025-05-07,Gift Code,False
444,155,60.23,2024-09-24,Credit Card,False
445,59,58.35,2024-09-30,Gift Code,False
446,275,41.13,2025-05-04,Credit Card,True
447,771,34.76,2025-02-27,PayPal,False
448,201,40.41,2025-02-04,Gift Code,False
449,295,51.02,2025-04-06,PayPal,False
450,322,55.3,2025-07-07,Gift Code,False
451,329,65.83,2024-11-29,PayPal,False
452,952,37.94,2025-05-10,Gift Code,True
453,390,44.32,2025-05-27,Gift Code,False
454,998,66.32,2024-11-19,Gift Code,True
455,284,34.1,2024-09-21,Credit Card,False
456,176,52.18,2025-01-16,Credit Card,False
457,610,30.75,2025-07-17,Gift Code,False
458,349,46.51,2024-10-12,PayPal,False
459,432,69.65,2025-05-08,PayPal,False
460,963,55.48,2024-11-04,Gift Code,False
461,694,63.24,2024-11-01,Credit Card,False
462,382,55.45,2025-03-09,Credit Card,False
463,272,55.28,2025-04-26,Credit Card,False
464,492,33.67,2025-01-28,Credit Card,True
465,547,70.64,2025-03-04,PayPal,False
466,331,66.29,2025-06-08,Gift Code,False
467,875,42.53,2025-05-07,Gift Code,False
468,599,65.3,2025-03-13,Gift Code,False
469,158,60.63,2024-09-19,PayPal,False
470,432,56.53,2025-07-07,Credit Card,False
471,325,52.12,2025-06-24,Credit Card,False
472,116,48.98,2024-12-16,PayPal,False
473,520,67.39,2024-09-06,PayPal,False
474,619,51.34,2025-05-29,Gift Code,False
475,619,54.71,2025-06-20,Gift Code,False
476,626,66.56,2025-03-30,PayPal,False
477,435,61.62,2025-07-16,PayPal,False
478,522,37.64,2025-03-12,PayPal,False
479,796,44.15,2025-01-26,Credit Card,False
480,932,41.77,2025-04-17,Gift Code,False
481,572,54.44,2024-10-07,PayPal,False
482,266,45.17,2025-06-04,PayPal,False
483,398,46.17,2024-12-30,Credit Card,False
484,102,47.65,2024-12-29,PayPal,False
485,63,53.7,2025-03-26,Gift Code,False
486,997,47.38,2025-06-09,Credit Card,False
487,687,59.67,2025-06-29,PayPal,False
488,709,39.08,2024-11-25,Gift Code,False
489,824,35.19,2024-11-08,Gift Code,False
490,902,43.47,2025-01-12,Credit Card,False
491,511,39.82,2025-05-04,Gift Code,False
492,222,50.55,2025-07-23,Credit Card,False
493,915,45.99,2024-12-13,Gift Code,False
494,436,37.0,2025-02-06,PayPal,False
495,190,36.81,2025-07-09,Credit Card,False
496,640,51.82,2025-06-13,Gift Code,False
497,945,59.0,2025-01-19,Credit Card,False
498,334,42.93,2025-06-13,Gift Code,False
499,907,49.12,2025-02-26,Credit Card,False
500,558,43.57,2025-04-22,PayPal,True
501,581,48.47,2025-07-24,Credit Card,True
502,301,67.61,2025-04-09,Credit Card,False
503,351,74.99,2025-05-02,PayPal,False
504,876,45.53,2024-10-26,Gift Code,False
505,570,44.88,2025-04-08,PayPal,False
506,928,54.31,2025-01-28,Credit Card,False
507,728,51.2,2025-07-12,PayPal,False
508,115,56.8,2024-08-18,PayPal,False
509,522,48.74,2025-07-12,Credit Card,False
510,909,48.17,2024-08-16,Credit Card,False
511,367,54.41,2025-06-15,PayPal,False
512,269,52.41,2025-04-22,Credit Card,False
513,804,45.17,2024-11-26,Gift Code,False
514,86,51.23,2024-10-04,Gift Code,False
515,896,51.26,2025-03-08,Gift Code,False
516,969,22.4,2025-05-09,Gift Code,False
517,378,49.42,2025-04-20,PayPal,False
518,147,59.02,2024-09-17,PayPal,False
519,118,45.6,2024-12-08,PayPal,False
520,135,42.55,2025-04-01,Credit Card,False
521,527,42.59,2025-04-27,PayPal,False
522,849,53.28,2025-03-10,PayPal,False
523,814,40.12,2024-08-14,Credit Card,False
524,206,52.37,2025-05-29,Credit Card,True
525,233,51.58,2025-01-07,Credit Card,True
526,816,36.65,2025-04-19,Gift Code,False
527,66,59.45,2025-06-02,PayPal,False
528,974,62.51,2025-02-01,PayPal,False
529,4,52.5,2025-01-18,PayPal,False
530,3,50.38,2024-09-08,Credit Card,False
531,259,44.98,2025-02-25,PayPal,False
532,715,45.37,2024-11-26,Gift Code,False
533,325,45.66,2024-10-07,PayPal,False
534,240,57.42,2025-04-27,PayPal,False
535,605,55.72,2024-12-26,Credit Card,False
536,796,30.28,2024-07-24,Gift Code,False
537,535,35.17,2025-05-18,PayPal,False
538,798,41.71,2025-03-27,Credit Card,False
539,318,45.34,2024-09-03,Gift Code,False
540,599,54.3,2025-01-24,Gift Code,False
541,51,44.6,2024-11-13,Credit Card,False
542,809,54.18,2025-07-19,Credit Card,False
543,470,65.95,2024-10-19,Credit Card,False
544,832,44.16,2025-04-22,Credit Card,False
545,43,40.84,2024-07-31,Credit Card,False
546,204,38.72,2024-10-31,Credit Card,False
547,347,39.64,2024-08-16,PayPal,False
548,58,55.53,2025-07-18,Credit Card,False
549,59,57.58,2024-09-23,Credit Card,False
550,680,56.26,2024-12-07,Gift Code,False
551,686,39.5,2024-12-17,Gift Code,False
552,511,46.16,2025-05-28,Gift Code,False
553,318,46.19,2024-08-15,Credit Card,False
554,433,67.15,2024-08-11,Credit Card,False
555,372,52.95,2024-11-14,PayPal,False
556,207,51.09,2024-09-08,PayPal,False
557,111,52.77,2024-10-10,PayPal,False
558,23,45.7,2025-07-08,PayPal,False
559,428,54.02,2024-08-31,Credit Card,False
560,745,45.21,2024-12-29,Gift Code,False
561,940,64.27,2025-04-14,Credit Card,False
562,787,41.28,2024-12-25,Credit Card,False
563,684,51.88,2025-06-17,Credit Card,False
564,11,56.69,2025-01-31,Credit Card,False
565,572,49.19,2025-01-20,Gift Code,False
566,934,51.26,2024-12-07,Gift Code,False
567,744,47.98,2024-09-19,PayPal,False
568,747,40.86,2025-01-26,Credit Card,False
569,515,67.33,2025-05-21,PayPal,False
570,144,46.4,2024-07-24,Gift Code,False
571,992,36.93,2025-01-10,Gift Code,False
572,742,42.76,2024-09-04,PayPal,False
573,521,63.28,2024-09-22,Gift Code,False
574,809,72.76,2025-07-01,Gift Code,False
575,294,53.71,2025-01-13,Credit Card,False
576,325,57.89,2025-03-04,Credit Card,False
577,193,68.45,2025-04-24,Gift Code,False
578,291,40.38,2025-05-05,Gift Code,False
579,639,53.91,2025-04-17,PayPal,False
580,419,68.26,2025-01-22,PayPal,False
581,460,58.38,2024-09-01,Gift Code,False
582,996,47.27,2025-01-10,Credit Card,False
583,981,53.61,2025-01-06,Credit Card,False
584,48,68.62,2024-10-14,PayPal,False
585,107,51.5,2025-05-07,Credit Card,False
586,264,40.75,2024-11-27,Credit Card,False
587,253,56.11,2024-07-27,PayPal,False
588,539,40.96,2024-12-30,PayPal,False
589,521,42.65,2025-06-28,Credit Card,False
590,732,45.34,2025-05-29,PayPal,False
591,158,49.8,2025-05-15,Gift Code,False
592,526,41.53,2024-11-15,PayPal,False
593,919,54.1,2024-10-01,Gift Code,False
594,29,46.52,2025-04-20,Gift Code,False
595,538,58.18,2025-01-18,Gift Code,False
596,726,50.4,2024-09-23,PayPal,False
597,143,48.45,2025-03-02,PayPal,True
598,627,48.85,2025-04-29,PayPal,False
599,841,64.59,2025-03-16,Gift Code,False
600,218,58.81,2025-07-15,PayPal,False
601,593,35.7,2024-08-02,Credit Card,False
602,713,45.0,2025-04-17,Credit Card,False
603,67,50.95,2024-11-15,PayPal,False
604,761,28.23,2024-10-13,Gift Code,False
605,144,54.28,2025-02-07,PayPal,False
606,141,41.5,2025-02-21,Credit Card,False
607,346,42.64,2025-03-25,Gift Code,False
608,465,42.97,2024-09-01,PayPal,False
609,96,62.58,2025-01-29,PayPal,False
610,408,56.08,2025-07-11,Gift Code,False
611,118,45.48,2025-04-29,Gift Code,False
612,830,44.37,2024-12-29,Credit Card,False
613,697,51.64,2025-01-19,PayPal,False
614,804,65.95,2024-12-25,Credit Card,False
615,444,47.42,2024-09-14,Credit Card,False
